[2024-10-02 14:26:16.257]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible
[2024-10-02 14:34:44.959]	 Already installed "tmux-continuum"
[2024-10-02 14:34:44.960]	 Already installed "tmux-cpu"
[2024-10-02 14:34:44.961]	 Already installed "tmux-pain-control"
[2024-10-02 14:34:44.962]	 Already installed "tmux-sensible"
[2024-10-02 14:34:44.963]	 Already installed "tmux"
[2024-10-02 14:34:44.955]	 Already installed "tmux-copycat"
[2024-10-02 14:34:44.958]	 Already installed "tmux-continuum"
[2024-10-02 14:34:44.960]	 Already installed "tmux-resurrect"
[2024-10-02 14:34:44.960]	 Already installed "tmux-cpu"
[2024-10-02 14:34:44.960]	 Already installed "tmux-sensible"
[2024-10-02 14:34:44.961]	 Already installed "tmux-pain-control"
[2024-10-02 14:34:44.963]	 Already installed "tmux"
[2024-10-02 14:34:44.973]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:34:44.973]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:34:45.089]	 Updating all plugins!
[2024-10-02 14:34:45.089]	 
[2024-10-02 14:34:45.449]	   "tmux-copycat" update success
[2024-10-02 14:34:45.451]	     | Already up to date.
[2024-10-02 14:34:45.506]	   "tmux-resurrect" update success
[2024-10-02 14:34:45.514]	     | Already up to date.
[2024-10-02 14:34:45.539]	   "tmux-cpu" update success
[2024-10-02 14:34:45.544]	     | Already up to date.
[2024-10-02 14:34:45.568]	   "tmux-pain-control" update success
[2024-10-02 14:34:45.570]	   "tmux-continuum" update success
[2024-10-02 14:34:45.572]	     | Already up to date.
[2024-10-02 14:34:45.572]	     | Already up to date.
[2024-10-02 14:34:45.587]	   "tmux-sensible" update success
[2024-10-02 14:34:45.588]	     | Already up to date.
[2024-10-02 14:34:45.593]	   "tmux" update success
[2024-10-02 14:34:45.595]	     | Already up to date.
[2024-10-02 14:34:45.089]	 Updating all plugins!
[2024-10-02 14:34:45.089]	 
[2024-10-02 14:34:45.439]	   "tmux-copycat" update success
[2024-10-02 14:34:45.441]	     | Already up to date.
[2024-10-02 14:34:45.458]	   "tmux-cpu" update success
[2024-10-02 14:34:45.460]	     | Already up to date.
[2024-10-02 14:34:45.484]	   "tmux-resurrect" update success
[2024-10-02 14:34:45.487]	     | Already up to date.
[2024-10-02 14:34:45.569]	   "tmux-continuum" update success
[2024-10-02 14:34:45.571]	     | Already up to date.
[2024-10-02 14:34:45.585]	   "tmux" update success
[2024-10-02 14:34:45.586]	   "tmux-sensible" update success
[2024-10-02 14:34:45.587]	     | Already up to date.
[2024-10-02 14:34:45.588]	     | Already up to date.
[2024-10-02 14:34:45.594]	   "tmux-pain-control" update success
[2024-10-02 14:34:45.595]	     | Already up to date.
[2024-10-02 14:34:45.604]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:34:45.604]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:34:45.650]	 Done.
[2024-10-02 14:34:45.650]	 Done.


[2024-10-02 14:38:34.634]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:38:34.643]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:38:34.867]	 Already installed "tmux-resurrect"
[2024-10-02 14:38:34.867]	 Already installed "tmux-cpu"
[2024-10-02 14:38:34.867]	 Already installed "tmux-continuum"
[2024-10-02 14:38:34.867]	 Already installed "tmux-pain-control"
[2024-10-02 14:38:34.869]	 Already installed "tmux-copycat"
[2024-10-02 14:38:34.869]	 Already installed "tmux-sensible"
[2024-10-02 14:38:34.869]	 Already installed "tmux"
[2024-10-02 14:38:34.880]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:38:34.999]	 Updating all plugins!
[2024-10-02 14:38:35.000]	 
[2024-10-02 14:38:35.385]	   "tmux-resurrect" update success
[2024-10-02 14:38:35.386]	   "tmux-copycat" update success
[2024-10-02 14:38:35.388]	     | Already up to date.
[2024-10-02 14:38:35.389]	     | Already up to date.
[2024-10-02 14:38:35.391]	   "tmux-cpu" update success
[2024-10-02 14:38:35.393]	     | Already up to date.
[2024-10-02 14:38:35.407]	   "tmux-continuum" update success
[2024-10-02 14:38:35.408]	     | Already up to date.
[2024-10-02 14:38:35.411]	   "tmux-sensible" update success
[2024-10-02 14:38:35.413]	     | Already up to date.
[2024-10-02 14:38:35.426]	   "tmux-pain-control" update success
[2024-10-02 14:38:35.427]	     | Already up to date.
[2024-10-02 14:38:35.434]	   "tmux" update success
[2024-10-02 14:38:35.436]	     | Already up to date.
[2024-10-02 14:38:35.444]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:38:35.485]	 Done.

[2024-10-02 14:38:45.777]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:38:45.786]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
